序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1、您的性别：,2、您的出生年份( 填写数字，如，2003 )：,3、您的年级：,4、假设您能以4.3及以上的绩点毕业，您会有多高兴（0代表非常不高兴，10代表非常高兴）：,5、您目前的绩点（填写数字，如，3.75）：,6、您觉得能够以4.3及以上的绩点毕业的可能性（0代表不可能，10代表极有可能）：,总分
1,2023/11/25 15:32:02,33秒,微信,N/A,119.143.78.155(广东-广州),男,2003,大三,非常高兴,3.92,4,14
2,2023/11/25 15:34:17,53秒,微信,N/A,223.74.34.43(广东-深圳),女,2002,研究生及以上,非常高兴,4,8,18
3,2023/11/25 15:34:29,67秒,微信,N/A,223.148.84.197(湖南-长沙),女,2002,大二,9,3.62,2,11
4,2023/11/25 15:34:50,25秒,微信,N/A,218.17.207.19(广东-深圳),男,2002,大二,非常高兴,3.4,4,14
5,2023/11/25 15:35:06,26秒,微信,N/A,119.143.114.36(广东-广州),男,2001,研究生及以上,非常高兴,00,极有可能,20
6,2023/11/25 15:35:45,51秒,微信,N/A,182.102.9.31(江西-南昌),男,2001,研究生及以上,7,3.8,4,11
7,2023/11/25 15:35:49,64秒,微信,N/A,223.74.34.49(广东-深圳),女,2004,大一,8,0.00,9,17
8,2023/11/25 15:36:59,18秒,微信,N/A,223.160.231.25(重庆-重庆),女,2005,大一,非常高兴,3.75,7,17
9,2023/11/25 15:37:08,24秒,微信,N/A,223.104.68.68(广东-深圳),女,2005,大一,非常高兴,0,9,19
10,2023/11/25 15:37:14,24秒,微信,N/A,113.84.40.103(广东-汕头),男,2003,大二,非常高兴,3.45,6,16
11,2023/11/25 15:37:42,25秒,微信,N/A,223.104.68.127(广东-深圳),女,2001,研究生及以上,非常高兴,0,7,17
12,2023/11/25 15:40:10,20秒,微信,N/A,223.104.68.138(广东-深圳),女,1995,研究生及以上,8,3.45,8,16
13,2023/11/25 15:41:04,32秒,微信,N/A,223.74.34.110(广东-深圳),女,2004,大二,非常高兴,3.98,6,16
14,2023/11/25 15:41:17,41秒,微信,N/A,218.17.207.108(广东-深圳),男,2003,大二,非常高兴,3.89,1,11
15,2023/11/25 15:42:06,27秒,微信,N/A,117.136.40.199(广东-深圳),女,2003,大二,8,3.4,4,12
16,2023/11/25 15:44:45,22秒,微信,N/A,223.104.68.99(广东-深圳),女,2004,大二,非常高兴,3.5,4,14
17,2023/11/25 15:45:37,27秒,微信,N/A,223.104.68.14(广东-深圳),男,2004,大二,9,3.5,3,12
18,2023/11/25 18:22:50,55秒,微信,N/A,223.104.63.169(广东-深圳),女,2005,大一,9,3.6,6,15
19,2023/11/25 21:15:31,24秒,微信,N/A,223.104.66.61(广东-广州),女,2004,大一,8,0,4,12
20,2023/11/26 13:39:11,28秒,微信,N/A,223.104.77.165(广东-惠州),女,2003,大二,非常高兴,3.75,3,13
21,2023/11/26 13:39:37,47秒,微信,N/A,117.136.40.240(广东-深圳),女,2004,大二,7,3.20,6,13
22,2023/11/26 13:39:55,45秒,微信,N/A,223.74.34.67(广东-深圳),女,2002,大三,非常高兴,3.71,3,13
23,2023/11/26 13:40:14,23秒,微信,N/A,117.136.40.200(广东-深圳),女,2005,大一,8,3,5,13
24,2023/11/26 13:40:24,28秒,微信,N/A,223.104.61.118(广东-东莞),女,2000,其他,非常高兴,3.8,极有可能,20
25,2023/11/26 13:40:32,27秒,微信,N/A,223.104.68.93(广东-深圳),女,2000,研究生及以上,非常高兴,3.68,5,15
26,2023/11/26 13:40:59,19秒,微信,N/A,112.97.82.24(广东-深圳),女,2000,研究生及以上,非常高兴,4,9,19
27,2023/11/26 13:41:00,28秒,微信,N/A,223.104.68.231(广东-深圳),男,2004,大二,9,3.13,不可能,9
28,2023/11/26 13:41:05,29秒,微信,N/A,120.236.233.250(广东-深圳),男,2001,大四,非常高兴,3.65,2,12
29,2023/11/26 13:41:17,33秒,微信,N/A,14.150.168.46(广东-东莞),男,2003,大三,非常高兴,3.1,不可能,10
30,2023/11/26 13:41:43,56秒,微信,N/A,218.17.40.226(广东-深圳),女,2003,大三,非常高兴,3.97,4,14
31,2023/11/26 13:41:52,27秒,微信,N/A,183.9.102.248(广东-揭阳),女,2002,大三,非常高兴,3.71,4,14
32,2023/11/26 13:42:00,45秒,微信,N/A,14.150.227.65(广东-佛山),男,2003,大二,9,4.07,3,12
33,2023/11/26 13:42:13,29秒,微信,N/A,223.104.76.239(广东-广州),男,2000,研究生及以上,8,3.55,6,14
34,2023/11/26 13:43:29,19秒,微信,N/A,218.17.40.8(广东-深圳),男,2004,大二,非常高兴,3.6,1,11
35,2023/11/26 13:44:17,19秒,微信,N/A,223.104.64.33(广东-东莞),女,2003,大三,9,3.28,极有可能,19
36,2023/11/26 13:44:29,22秒,微信,N/A,223.104.77.150(广东-惠州),女,2003,大二,非常高兴,4.03,5,15
37,2023/11/26 13:44:50,21秒,微信,N/A,223.104.68.86(广东-深圳),女,2004,大二,9,3.73,极有可能,19
38,2023/11/26 13:45:12,25秒,微信,N/A,183.9.199.156(广东-揭阳),男,2005,大一,非常高兴,3.75,不可能,10
39,2023/11/26 13:45:23,28秒,微信,N/A,223.74.34.14(广东-深圳),男,2000,研究生及以上,9,3.01,不可能,9
40,2023/11/26 13:45:26,29秒,微信,N/A,223.104.68.210(广东-深圳),男,1998,研究生及以上,9,3.75,9,18
41,2023/11/26 13:46:57,35秒,微信,N/A,223.74.34.62(广东-深圳),女,2005,大一,9,0.00,5,14
42,2023/11/26 13:47:01,23秒,微信,N/A,223.74.34.73(广东-深圳),男,2003,大二,5,1.12,不可能,5
43,2023/11/26 13:47:47,99秒,微信,N/A,223.74.34.115(广东-深圳),女,2004,大二,9,3.2,3,12
44,2023/11/26 13:48:11,23秒,微信,N/A,223.104.77.174(广东-惠州),女,2002,大二,非常高兴,3.0,不可能,10
45,2023/11/26 13:50:04,28秒,微信,N/A,112.97.84.199(广东-深圳),女,2005,大二,非常高兴,3.2,3,13
46,2023/11/26 13:50:13,29秒,微信,N/A,183.9.228.28(广东-揭阳),女,2003,大三,非常高兴,3.69,不可能,10
47,2023/11/26 13:50:48,41秒,微信,N/A,223.104.68.158(广东-深圳),女,2005,大一,非常高兴,4.5,极有可能,20
48,2023/11/26 13:51:21,30秒,微信,N/A,183.8.85.225(广东-深圳),女,2003,大三,非常高兴,3.5,2,12
49,2023/11/26 13:54:08,24秒,微信,N/A,113.91.40.174(广东-深圳),女,2004,大二,4,3.2,7,11
50,2023/11/26 13:54:22,19秒,微信,N/A,223.104.68.56(广东-深圳),男,2002,研究生及以上,9,4.1,极有可能,19
51,2023/11/26 13:59:03,22秒,微信,N/A,223.104.68.249(广东-深圳),女,2004,大二,9,3.5,4,13
52,2023/11/26 14:00:58,22秒,微信,N/A,113.115.62.175(广东-广州),女,2003,大三,9,3.77,2,11
53,2023/11/26 14:01:36,23秒,微信,N/A,119.4.175.139(四川-未知),女,2003,大三,8,3.5,1,9
54,2023/11/26 14:18:59,33秒,微信,N/A,223.74.34.50(广东-深圳),男,2005,大一,非常高兴,3.2,4,14
55,2023/11/26 14:26:49,64秒,微信,N/A,112.97.60.184(广东-深圳),女,2005,大一,7,3.4,8,15
56,2023/11/26 14:28:10,33秒,微信,N/A,113.84.34.151(广东-汕头),男,2004,大一,非常高兴,0,2,12
57,2023/11/26 14:29:26,30秒,微信,N/A,113.84.1.238(广东-汕头),女,2001,大四,非常高兴,3.7,不可能,10
58,2023/11/26 14:31:25,30秒,微信,N/A,183.9.198.54(广东-揭阳),女,2000,研究生及以上,8,3.75,6,14
60,2023/11/26 15:11:49,44秒,微信,N/A,14.155.102.61(广东-深圳),女,2003,大三,9,3.3,1,10
